"fips","gillespie","others","stewart","wagner"
"51001",701,0,718,212
"51003",1730,0,1859,482
"51510",2663,0,976,429
"51005",220,0,235,45
"51007",330,0,449,36
"51009",694,0,992,163
"51011",422,1,557,142
"51013",3138,0,1329,660
"51015",1655,1,2673,301
"51017",129,0,104,14
"51019",2791,0,3289,616
"51021",146,0,187,26
"51023",859,0,1010,190
"51520",172,0,352,20
"51025",209,0,196,69
"51027",175,0,184,7
"51029",370,0,430,53
"51530",118,0,78,29
"51031",1149,0,1778,235
"51033",652,0,611,77
"51035",750,1,881,141
"51036",99,0,129,22
"51037",224,0,266,38
"51540",253,0,215,58
"51550",4873,0,4016,3325
"51041",8952,3,7820,2165
"51043",429,0,519,80
"51570",733,0,477,74
"51580",58,0,81,14
"51045",139,0,174,24
"51047",965,0,1972,190
"51049",358,0,229,45
"51590",599,0,678,109
"51051",99,0,184,15
"51053",409,0,635,84
"51595",83,0,54,17
"51057",262,0,200,39
"51059",17893,0,14552,4957
"51600",467,0,418,157
"51610",254,0,105,45
"51061",1975,0,2611,508
"51063",227,0,380,61
"51065",572,0,772,154
"51067",1267,0,1358,293
"51620",216,0,150,84
"51069",1929,0,2170,362
"51630",580,0,321,127
"51640",123,0,115,18
"51071",365,0,394,59
"51073",1018,0,1090,576
"51075",1530,0,980,233
"51077",204,0,332,36
"51079",366,0,515,100
"51081",169,0,102,19
"51083",641,0,820,77
"51650",1491,0,1377,918
"51085",3904,1,4504,789
"51660",431,0,464,55
"51087",9983,2,5774,1897
"51089",663,1,892,210
"51091",67,0,123,14
"51670",277,0,385,58
"51093",1409,0,1214,818
"51095",3024,0,1913,995
"51097",196,0,172,40
"51099",490,0,726,134
"51101",412,0,544,97
"51103",501,1,303,131
"51105",143,0,309,14
"51678",119,0,65,10
"51107",5566,0,5372,1458
"51109",1632,0,1335,420
"51111",242,0,231,33
"51680",2834,0,1788,570
"51113",294,0,477,63
"51683",513,0,869,174
"51685",75,0,193,46
"51690",178,0,129,45
"51115",272,0,274,132
"51117",456,0,598,121
"51119",400,0,345,114
"51121",1101,0,1052,278
"51125",310,0,472,86
"51127",678,0,851,195
"51700",2199,3,1797,1605
"51710",1864,0,1536,1338
"51131",257,0,179,99
"51133",654,0,462,116
"51720",33,0,50,3
"51135",298,0,248,45
"51137",986,0,1094,146
"51139",430,0,612,50
"51141",161,0,423,80
"51730",93,0,84,31
"51143",1205,0,1680,194
"51735",456,0,357,279
"51740",976,0,968,580
"51145",1100,0,990,323
"51147",487,0,268,60
"51149",780,0,993,203
"51153",5434,2,10281,1438
"51155",516,0,540,74
"51157",217,0,306,52
"51159",162,0,141,45
"51760",2314,2,1040,576
"51161",3455,1,2691,740
"51770",1150,0,1005,254
"51163",666,0,530,112
"51165",1494,0,2293,221
"51167",129,0,428,15
"51775",551,0,540,136
"51169",180,0,403,30
"51171",1153,0,1269,139
"51173",191,0,637,59
"51175",568,0,376,222
"51177",3889,0,3277,722
"51179",4215,0,4155,984
"51790",460,0,540,113
"51800",1512,0,1415,1070
"51181",151,0,182,82
"51183",181,0,154,62
"51185",394,0,864,68
"51810",8173,2,7429,7839
"51187",753,0,1129,167
"51191",570,0,1421,115
"51820",380,0,443,76
"51193",392,0,386,111
"51830",309,0,178,93
"51840",547,0,408,82
"51195",279,0,483,63
"51197",445,0,685,55
"51199",1930,0,1475,1277
