County/City,,,"Edward Walter Gillespie","Corey Alan Stewart","Frank W. Wagner","All Others","Total Votes Cast"
,,,,,
"Accomack County",,,701,718,212,0,"1,631"
"Albemarle County",,,"1,730","1,859",482,0,"4,071"
"Alexandria City",,,"2,663",976,429,0,"4,068"
"Alleghany County",,,220,235,45,0,500
"Amelia County",,,330,449,36,0,815
"Amherst County",,,694,992,163,0,"1,849"
"Appomattox County",,,422,557,142,1,"1,122"
"Arlington County",,,"3,138","1,329",660,0,"5,127"
"Augusta County",,,"1,655","2,673",301,1,"4,630"
"Bath County",,,129,104,14,0,247
"Bedford County",,,"2,791","3,289",616,0,"6,696"
"Bland County",,,146,187,26,0,359
"Botetourt County",,,859,"1,010",190,0,"2,059"
"Bristol City",,,172,352,20,0,544
"Brunswick County",,,209,196,69,0,474
"Buchanan County",,,175,184,7,0,366
"Buckingham County",,,370,430,53,0,853
"Buena Vista City",,,118,78,29,0,225
"Campbell County",,,"1,149","1,778",235,0,"3,162"
"Caroline County",,,652,611,77,0,"1,340"
"Carroll County",,,750,881,141,1,"1,773"
"Charles City County",,,99,129,22,0,250
"Charlotte County",,,224,266,38,0,528
"Charlottesville City",,,253,215,58,0,526
"Chesapeake City",,,"4,873","4,016","3,325",0,"12,214"
"Chesterfield County",,,"8,952","7,820","2,165",3,"18,940"
"Clarke County",,,429,519,80,0,"1,028"
"Colonial Heights City",,,733,477,74,0,"1,284"
"Covington City",,,58,81,14,0,153
"Craig County",,,139,174,24,0,337
"Culpeper County",,,965,"1,972",190,0,"3,127"
"Cumberland County",,,358,229,45,0,632
"Danville City",,,599,678,109,0,"1,386"
"Dickenson County",,,99,184,15,0,298
"Dinwiddie County",,,409,635,84,0,"1,128"
"Emporia City",,,83,54,17,0,154
"Essex County",,,262,200,39,0,501
"Fairfax County",,,"17,893","14,552","4,957",0,"37,402"
"Fairfax City",,,467,418,157,0,"1,042"
"Falls Church City",,,254,105,45,0,404
"Fauquier County",,,"1,975","2,611",508,0,"5,094"
"Floyd County",,,227,380,61,0,668
"Fluvanna County",,,572,772,154,0,"1,498"
"Franklin County",,,"1,267","1,358",293,0,"2,918"
"Franklin City",,,216,150,84,0,450
"Frederick County",,,"1,929","2,170",362,0,"4,461"
"Fredericksburg City",,,580,321,127,0,"1,028"
"Galax City",,,123,115,18,0,256
"Giles County",,,365,394,59,0,818
"Gloucester County",,,"1,018","1,090",576,0,"2,684"
"Goochland County",,,"1,530",980,233,0,"2,743"
"Grayson County",,,204,332,36,0,572
"Greene County",,,366,515,100,0,981
"Greensville County",,,169,102,19,0,290
"Halifax County",,,641,820,77,0,"1,538"
"Hampton City",,,"1,491","1,377",918,0,"3,786"
"Hanover County",,,"3,904","4,504",789,1,"9,198"
"Harrisonburg City",,,431,464,55,0,950
"Henrico County",,,"9,983","5,774","1,897",2,"17,656"
"Henry County",,,663,892,210,1,"1,766"
"Highland County",,,67,123,14,0,204
"Hopewell City",,,277,385,58,0,720
"Isle of Wight County",,,"1,409","1,214",818,0,"3,441"
"James City County",,,"3,024","1,913",995,0,"5,932"
"King and Queen County",,,196,172,40,0,408
"King George County",,,490,726,134,0,"1,350"
"King William County",,,412,544,97,0,"1,053"
"Lancaster County",,,501,303,131,1,936
"Lee County",,,143,309,14,0,466
"Lexington City",,,119,65,10,0,194
"Loudoun County",,,"5,566","5,372","1,458",0,"12,396"
"Louisa County",,,"1,632","1,335",420,0,"3,387"
"Lunenburg County",,,242,231,33,0,506
"Lynchburg City",,,"2,834","1,788",570,0,"5,192"
"Madison County",,,294,477,63,0,834
"Manassas City",,,513,869,174,0,"1,556"
"Manassas Park City",,,75,193,46,0,314
"Martinsville City",,,178,129,45,0,352
"Mathews County",,,272,274,132,0,678
"Mecklenburg County",,,456,598,121,0,"1,175"
"Middlesex County",,,400,345,114,0,859
"Montgomery County",,,"1,101","1,052",278,0,"2,431"
"Nelson County",,,310,472,86,0,868
"New Kent County",,,678,851,195,0,"1,724"
"Newport News City",,,"2,199","1,797","1,605",3,"5,604"
"Norfolk City",,,"1,864","1,536","1,338",0,"4,738"
"Northampton County",,,257,179,99,0,535
"Northumberland County",,,654,462,116,0,"1,232"
"Norton City",,,33,50,3,0,86
"Nottoway County",,,298,248,45,0,591
"Orange County",,,986,"1,094",146,0,"2,226"
"Page County",,,430,612,50,0,"1,092"
"Patrick County",,,161,423,80,0,664
"Petersburg City",,,93,84,31,0,208
"Pittsylvania County",,,"1,205","1,680",194,0,"3,079"
"Poquoson City",,,456,357,279,0,"1,092"
"Portsmouth City",,,976,968,580,0,"2,524"
"Powhatan County",,,"1,100",990,323,0,"2,413"
"Prince Edward County",,,487,268,60,0,815
"Prince George County",,,780,993,203,0,"1,976"
"Prince William County",,,"5,434","10,281","1,438",2,"17,155"
"Pulaski County",,,516,540,74,0,"1,130"
"Radford City",,,199,148,42,0,389
"Rappahannock County",,,217,306,52,0,575
"Richmond County",,,162,141,45,0,348
"Richmond City",,,"2,314","1,040",576,2,"3,932"
"Roanoke County",,,"3,455","2,691",740,1,"6,887"
"Roanoke City",,,"1,150","1,005",254,0,"2,409"
"Rockbridge County",,,666,530,112,0,"1,308"
"Rockingham County",,,"1,494","2,293",221,0,"4,008"
"Russell County",,,129,428,15,0,572
"Salem City",,,551,540,136,0,"1,227"
"Scott County",,,180,403,30,0,613
"Shenandoah County",,,"1,153","1,269",139,0,"2,561"
"Smyth County",,,191,637,59,0,887
"Southampton County",,,568,376,222,0,"1,166"
"Spotsylvania County",,,"3,889","3,277",722,0,"7,888"
"Stafford County",,,"4,215","4,155",984,0,"9,354"
"Staunton City",,,460,540,113,0,"1,113"
"Suffolk City",,,"1,512","1,415","1,070",0,"3,997"
"Surry County",,,151,182,82,0,415
"Sussex County",,,181,154,62,0,397
"Tazewell County",,,394,864,68,0,"1,326"
"Virginia Beach City",,,"8,173","7,429","7,839",2,"23,443"
"Warren County",,,753,"1,129",167,0,"2,049"
"Washington County",,,570,"1,421",115,0,"2,106"
"Waynesboro City",,,380,443,76,0,899
"Westmoreland County",,,392,386,111,0,889
"Williamsburg City",,,309,178,93,0,580
"Winchester City",,,547,408,82,0,"1,037"
"Wise County",,,279,483,63,0,825
"Wythe County",,,445,685,55,0,"1,185"
"York County",,,"1,930","1,475","1,277",0,"4,682"
TOTALS,,,"160,003","155,466","50,313",21,"365,803"
